data,produto_id,categoria,vendas_qtd,estoque_qtd,preco_unitario,promocao
2023-01-01,PROD_1,Alimento,23,152,11.55,1
2023-01-01,PROD_2,Alimento,10,153,13.09,0
2023-01-01,PROD_3,Higiene,7,70,18.72,0
2023-01-01,PROD_4,Alimento,10,64,16.78,0
2023-01-01,PROD_5,Bebida,7,113,13.31,0
2023-01-01,PROD_6,Bebida,22,67,13.54,1
2023-01-01,PROD_7,Higiene,24,102,23.9,1
2023-01-01,PROD_8,Alimento,12,57,8.46,0
2023-01-01,PROD_9,Bebida,17,51,4.24,1
2023-01-01,PROD_10,Higiene,11,195,12.64,0
2023-01-02,PROD_1,Alimento,27,97,20.17,1
2023-01-02,PROD_2,Bebida,10,173,10.52,0
2023-01-02,PROD_3,Bebida,6,58,9.43,0
2023-01-02,PROD_4,Bebida,12,82,20.1,0
2023-01-02,PROD_5,Bebida,25,82,16.53,1
2023-01-02,PROD_6,Bebida,8,153,4.87,0
2023-01-02,PROD_7,Bebida,7,76,9.41,0
2023-01-02,PROD_8,Higiene,8,192,14.74,0
2023-01-02,PROD_9,Alimento,4,135,19.74,0
2023-01-02,PROD_10,Higiene,8,77,22.43,0
2023-01-03,PROD_1,Higiene,15,141,20.78,0
2023-01-03,PROD_2,Bebida,17,170,11.16,1
2023-01-03,PROD_3,Bebida,19,100,21.09,1
2023-01-03,PROD_4,Higiene,6,162,9.29,0
2023-01-03,PROD_5,Higiene,7,180,4.9,0
2023-01-03,PROD_6,Higiene,10,178,9.97,0
2023-01-03,PROD_7,Bebida,7,172,8.65,0
2023-01-03,PROD_8,Bebida,19,193,8.71,1
2023-01-03,PROD_9,Bebida,7,197,21.46,0
2023-01-03,PROD_10,Alimento,8,177,10.51,0
2023-01-04,PROD_1,Alimento,22,91,14.63,1
2023-01-04,PROD_2,Bebida,13,109,9.05,0
2023-01-04,PROD_3,Bebida,32,58,9.11,1
2023-01-04,PROD_4,Bebida,9,165,9.5,0
2023-01-04,PROD_5,Alimento,15,161,5.31,0
2023-01-04,PROD_6,Bebida,10,117,5.68,0
2023-01-04,PROD_7,Alimento,12,184,8.6,0
2023-01-04,PROD_8,Higiene,10,168,19.0,0
2023-01-04,PROD_9,Higiene,15,70,8.88,0
2023-01-04,PROD_10,Alimento,10,110,14.31,0
2023-01-05,PROD_1,Alimento,13,95,14.23,0
2023-01-05,PROD_2,Higiene,8,116,23.17,0
2023-01-05,PROD_3,Higiene,16,153,7.14,0
2023-01-05,PROD_4,Bebida,12,176,5.01,0
2023-01-05,PROD_5,Bebida,23,92,14.64,1
2023-01-05,PROD_6,Higiene,8,99,18.74,0
2023-01-05,PROD_7,Higiene,20,69,22.14,1
2023-01-05,PROD_8,Higiene,8,115,17.47,0
2023-01-05,PROD_9,Alimento,8,174,12.93,0
2023-01-05,PROD_10,Alimento,16,64,21.54,1
2023-01-06,PROD_1,Bebida,10,157,11.24,0
2023-01-06,PROD_2,Alimento,10,101,16.89,0
2023-01-06,PROD_3,Alimento,23,169,6.35,1
2023-01-06,PROD_4,Alimento,4,166,9.32,0
2023-01-06,PROD_5,Higiene,12,171,5.24,0
2023-01-06,PROD_6,Alimento,10,166,6.86,0
2023-01-06,PROD_7,Higiene,11,142,17.22,0
2023-01-06,PROD_8,Bebida,9,78,12.52,0
2023-01-06,PROD_9,Bebida,12,134,6.0,0
2023-01-06,PROD_10,Alimento,9,59,13.68,0
2023-01-07,PROD_1,Higiene,17,196,23.91,1
2023-01-07,PROD_2,Bebida,22,73,14.32,1
2023-01-07,PROD_3,Alimento,26,133,23.79,1
2023-01-07,PROD_4,Bebida,11,150,15.87,0
2023-01-07,PROD_5,Bebida,22,78,16.96,1
2023-01-07,PROD_6,Bebida,12,57,4.99,0
2023-01-07,PROD_7,Bebida,8,184,11.79,0
2023-01-07,PROD_8,Higiene,8,148,6.04,0
2023-01-07,PROD_9,Higiene,13,86,12.37,0
2023-01-07,PROD_10,Bebida,12,79,8.63,0
2023-01-08,PROD_1,Bebida,13,68,22.9,0
2023-01-08,PROD_2,Bebida,15,77,11.87,0
2023-01-08,PROD_3,Higiene,21,166,23.93,1
2023-01-08,PROD_4,Higiene,10,102,5.47,0
2023-01-08,PROD_5,Alimento,5,191,20.52,0
2023-01-08,PROD_6,Bebida,15,195,15.31,0
2023-01-08,PROD_7,Bebida,14,186,24.33,0
2023-01-08,PROD_8,Bebida,5,132,21.17,0
2023-01-08,PROD_9,Higiene,26,120,16.0,1
2023-01-08,PROD_10,Alimento,9,157,24.7,0
2023-01-09,PROD_1,Alimento,15,190,15.51,0
2023-01-09,PROD_2,Higiene,12,176,12.21,0
